Iteration 89, Loss: 2.654646635055542
step 150: train loss 2.5266, val loss 2.5140
Iteration 150, Loss: 2.523123025894165
Iteration 151, Loss: 2.557161569595337
Iteration 152, Loss: 2.5461974143981934
Iteration 153, Loss: 2.57915997505188
Iteration 154, Loss: 2.540220022201538
Iteration 155, Loss: 2.539743423461914
Iteration 156, Loss: 2.553180456161499
Iteration 157, Loss: 2.5235908031463623
Iteration 158, Loss: 2.470020294189453
Iteration 159, Loss: 2.516157865524292
step 160: train loss 2.5157, val loss 2.5091
Iteration 160, Loss: 2.53167986869812
Iteration 161, Loss: 2.537517786026001
Iteration 162, Loss: 2.529167413711548
Iteration 163, Loss: 2.533142328262329
Iteration 164, Loss: 2.5208563804626465
Iteration 165, Loss: 2.5345990657806396
Iteration 166, Loss: 2.541046619415283
Iteration 167, Loss: 2.491574764251709
Iteration 168, Loss: 2.528738498687744
Iteration 169, Loss: 2.564577102661133
step 170: train loss 2.5053, val loss 2.4983
Iteration 170, Loss: 2.506251811981201
Iteration 171, Loss: 2.539816379547119
Iteration 172, Loss: 2.5610244274139404
Iteration 173, Loss: 2.516738176345825
Iteration 174, Loss: 2.5087647438049316
Iteration 175, Loss: 2.525024652481079
Iteration 176, Loss: 2.498241662979126
Iteration 177, Loss: 2.5004494190216064
Iteration 178, Loss: 2.5387871265411377
Iteration 179, Loss: 2.482937812805176
step 180: train loss 2.4950, val loss 2.4882
Iteration 180, Loss: 2.5821022987365723
Iteration 181, Loss: 2.491939067840576
Iteration 182, Loss: 2.500458240509033
Iteration 183, Loss: 2.43595552444458
Iteration 184, Loss: 2.482957124710083
Iteration 185, Loss: 2.532412052154541
Iteration 186, Loss: 2.5075340270996094
Iteration 187, Loss: 2.523948907852173
Iteration 188, Loss: 2.4820516109466553
Iteration 189, Loss: 2.5182042121887207
step 190: train loss 2.4920, val loss 2.4787
Iteration 190, Loss: 2.4749412536621094
Iteration 191, Loss: 2.5208871364593506
Iteration 192, Loss: 2.49822735786438
Iteration 193, Loss: 2.4488015174865723
Iteration 194, Loss: 2.4852538108825684
Iteration 195, Loss: 2.5255138874053955
Iteration 196, Loss: 2.465423345565796
Iteration 197, Loss: 2.4896132946014404
Iteration 198, Loss: 2.513895273208618
Iteration 199, Loss: 2.5271058082580566
step 200: train loss 2.4839, val loss 2.4703
Iteration 200, Loss: 2.5267276763916016
Iteration 201, Loss: 2.5153772830963135
Iteration 202, Loss: 2.5141632556915283
Iteration 203, Loss: 2.4775285720825195
Iteration 204, Loss: 2.4768283367156982
Iteration 205, Loss: 2.5102288722991943
Iteration 206, Loss: 2.508267402648926
Iteration 207, Loss: 2.51267147064209
Iteration 208, Loss: 2.4940624237060547
Iteration 209, Loss: 2.5008163452148438
step 210: train loss 2.4799, val loss 2.4697
Iteration 210, Loss: 2.5052883625030518
Iteration 211, Loss: 2.495434522628784
Iteration 212, Loss: 2.505110263824463
Iteration 213, Loss: 2.517160415649414
Iteration 214, Loss: 2.5106091499328613
Iteration 215, Loss: 2.5003340244293213
Iteration 216, Loss: 2.4343936443328857
Iteration 217, Loss: 2.5146687030792236
Iteration 218, Loss: 2.496161460876465
Iteration 219, Loss: 2.5083744525909424
step 220: train loss 2.4710, val loss 2.4632
Iteration 220, Loss: 2.525738477706909
Iteration 221, Loss: 2.478181838989258
Iteration 222, Loss: 2.4752793312072754
Iteration 223, Loss: 2.5200438499450684
Iteration 224, Loss: 2.466096878051758
Iteration 225, Loss: 2.492687225341797
Iteration 226, Loss: 2.479945182800293
Iteration 227, Loss: 2.523174285888672
Iteration 228, Loss: 2.521602153778076
Iteration 229, Loss: 2.4989871978759766
step 230: train loss 2.4680, val loss 2.4539
Iteration 230, Loss: 2.4803340435028076
Iteration 231, Loss: 2.406987190246582
Iteration 232, Loss: 2.514080047607422
Iteration 233, Loss: 2.4411025047302246
Iteration 234, Loss: 2.552504301071167
Iteration 235, Loss: 2.485647439956665
Iteration 236, Loss: 2.453733205795288
Iteration 237, Loss: 2.465914011001587
Iteration 238, Loss: 2.4622349739074707
Iteration 239, Loss: 2.454998016357422
step 240: train loss 2.4611, val loss 2.4529
Iteration 240, Loss: 2.4602432250976562
Iteration 241, Loss: 2.4970717430114746
Iteration 242, Loss: 2.4493749141693115
Iteration 243, Loss: 2.516441583633423
Iteration 244, Loss: 2.511892318725586
Iteration 245, Loss: 2.444890260696411
Iteration 246, Loss: 2.487536668777466
Iteration 247, Loss: 2.4627344608306885
Iteration 248, Loss: 2.457925796508789
Iteration 249, Loss: 2.4572715759277344
step 250: train loss 2.4591, val loss 2.4528
Iteration 250, Loss: 2.4913344383239746
Iteration 251, Loss: 2.4852054119110107
Iteration 252, Loss: 2.5702834129333496
Iteration 253, Loss: 2.456517219543457
Iteration 254, Loss: 2.5093977451324463
Iteration 255, Loss: 2.4458060264587402
Iteration 256, Loss: 2.4797329902648926
Iteration 257, Loss: 2.4424610137939453
Iteration 258, Loss: 2.4581692218780518
Iteration 259, Loss: 2.457298994064331
step 260: train loss 2.4598, val loss 2.4441
Iteration 260, Loss: 2.5107877254486084
Iteration 261, Loss: 2.4444291591644287
Iteration 262, Loss: 2.477391242980957
Iteration 263, Loss: 2.4759490489959717
Iteration 264, Loss: 2.4679696559906006
Iteration 265, Loss: 2.4811248779296875
Iteration 266, Loss: 2.446579694747925
Iteration 267, Loss: 2.462568521499634
Iteration 268, Loss: 2.4894232749938965
Iteration 269, Loss: 2.4639036655426025
step 270: train loss 2.4524, val loss 2.4422
Iteration 270, Loss: 2.5021440982818604
Iteration 271, Loss: 2.453991651535034
Iteration 272, Loss: 2.474691867828369
Iteration 273, Loss: 2.4840917587280273
Iteration 274, Loss: 2.4409990310668945
Iteration 275, Loss: 2.4480791091918945
Iteration 276, Loss: 2.4943926334381104
Iteration 277, Loss: 2.491943359375
Iteration 278, Loss: 2.441302537918091
Iteration 279, Loss: 2.4897778034210205
step 280: train loss 2.4434, val loss 2.4356
Iteration 280, Loss: 2.4151833057403564
Iteration 281, Loss: 2.427278518676758
Iteration 282, Loss: 2.4301700592041016
Iteration 283, Loss: 2.4166135787963867
Iteration 284, Loss: 2.4487903118133545
Iteration 285, Loss: 2.449199914932251
Iteration 286, Loss: 2.4257311820983887
Iteration 287, Loss: 2.513197660446167
Iteration 288, Loss: 2.470299005508423
Iteration 289, Loss: 2.4969193935394287
step 290: train loss 2.4439, val loss 2.4360
Iteration 290, Loss: 2.4400076866149902
Iteration 291, Loss: 2.452369213104248
Iteration 292, Loss: 2.441511869430542
Iteration 293, Loss: 2.4045615196228027
Iteration 294, Loss: 2.4502363204956055
Iteration 295, Loss: 2.4360408782958984
Iteration 296, Loss: 2.5090997219085693
Iteration 297, Loss: 2.4547414779663086
Iteration 298, Loss: 2.51127028465271
Iteration 299, Loss: 2.454711437225342
step 300: train loss 2.4412, val loss 2.4318
Iteration 300, Loss: 2.5010812282562256
Iteration 301, Loss: 2.446197271347046
Iteration 302, Loss: 2.4409492015838623
Iteration 303, Loss: 2.4665026664733887
Iteration 304, Loss: 2.4448800086975098
Iteration 305, Loss: 2.47975754737854
Iteration 306, Loss: 2.3895108699798584
Iteration 307, Loss: 2.4589598178863525
Iteration 308, Loss: 2.412482500076294
Iteration 309, Loss: 2.4785726070404053
step 310: train loss 2.4350, val loss 2.4252
Iteration 310, Loss: 2.406630039215088
Iteration 311, Loss: 2.471980333328247
Iteration 312, Loss: 2.487006902694702
Iteration 313, Loss: 2.496166229248047
Iteration 314, Loss: 2.41538667678833
Iteration 315, Loss: 2.4844186305999756
Iteration 316, Loss: 2.4177052974700928
Iteration 317, Loss: 2.4018020629882812
Iteration 318, Loss: 2.4523234367370605
Iteration 319, Loss: 2.441457986831665
step 320: train loss 2.4332, val loss 2.4203
Iteration 320, Loss: 2.3791325092315674
Iteration 321, Loss: 2.436128616333008
Iteration 322, Loss: 2.4314444065093994
Iteration 323, Loss: 2.4353582859039307
Iteration 324, Loss: 2.437851667404175
Iteration 325, Loss: 2.4608848094940186
Iteration 326, Loss: 2.427563428878784
Iteration 327, Loss: 2.4135773181915283
Iteration 328, Loss: 2.433162212371826
Iteration 329, Loss: 2.4789164066314697
step 330: train loss 2.4305, val loss 2.4195
Iteration 330, Loss: 2.455472230911255
Iteration 331, Loss: 2.43239164352417
Iteration 332, Loss: 2.4472429752349854
Iteration 333, Loss: 2.5112061500549316
Iteration 334, Loss: 2.444927453994751
Iteration 335, Loss: 2.457773208618164
Iteration 336, Loss: 2.471964120864868
Iteration 337, Loss: 2.4595212936401367
Iteration 338, Loss: 2.4569945335388184
Iteration 339, Loss: 2.442122220993042
step 340: train loss 2.4300, val loss 2.4180
Iteration 340, Loss: 2.4372870922088623
Iteration 341, Loss: 2.457439661026001
Iteration 342, Loss: 2.4280755519866943
Iteration 343, Loss: 2.4277894496917725
Iteration 344, Loss: 2.4326159954071045
Iteration 345, Loss: 2.4426937103271484
Iteration 346, Loss: 2.4497618675231934
Iteration 347, Loss: 2.43310546875
Iteration 348, Loss: 2.46140718460083
Iteration 349, Loss: 2.4288625717163086
step 350: train loss 2.4262, val loss 2.4136
Iteration 350, Loss: 2.4058635234832764
Iteration 351, Loss: 2.4296722412109375
Iteration 352, Loss: 2.44724702835083
Iteration 353, Loss: 2.445075511932373
Iteration 354, Loss: 2.453652858734131
Iteration 355, Loss: 2.440810203552246
Iteration 356, Loss: 2.4849421977996826
Iteration 357, Loss: 2.435591459274292
Iteration 358, Loss: 2.4675564765930176
Iteration 359, Loss: 2.4362363815307617
step 360: train loss 2.4186, val loss 2.4074
Iteration 360, Loss: 2.4510135650634766
Iteration 361, Loss: 2.4073007106781006
Iteration 362, Loss: 2.4295873641967773
Iteration 363, Loss: 2.41975998878479
Iteration 364, Loss: 2.502525806427002
Iteration 365, Loss: 2.408297061920166
Iteration 366, Loss: 2.4560763835906982
Iteration 367, Loss: 2.4909114837646484
Iteration 368, Loss: 2.3925235271453857
Iteration 369, Loss: 2.4532463550567627
step 370: train loss 2.4204, val loss 2.4127
Iteration 370, Loss: 2.4455854892730713
Iteration 371, Loss: 2.433769464492798
Iteration 372, Loss: 2.4105162620544434
Iteration 373, Loss: 2.4302923679351807
Iteration 374, Loss: 2.4735426902770996
Iteration 375, Loss: 2.4574990272521973
Iteration 376, Loss: 2.4686102867126465
Iteration 377, Loss: 2.4103517532348633
Iteration 378, Loss: 2.4269351959228516
Iteration 379, Loss: 2.451240301132202
step 380: train loss 2.4193, val loss 2.4098
Iteration 380, Loss: 2.4055511951446533
Iteration 381, Loss: 2.4025652408599854
Iteration 382, Loss: 2.4594764709472656
Iteration 383, Loss: 2.4551546573638916
Iteration 384, Loss: 2.4086368083953857
Iteration 385, Loss: 2.467139482498169
Iteration 386, Loss: 2.4125590324401855
Iteration 387, Loss: 2.472018241882324
Iteration 388, Loss: 2.4795515537261963
Iteration 389, Loss: 2.422764301300049
step 390: train loss 2.4157, val loss 2.4073
Iteration 390, Loss: 2.4216151237487793
Iteration 391, Loss: 2.3948373794555664
Iteration 392, Loss: 2.464144468307495
Iteration 393, Loss: 2.4527173042297363
Iteration 394, Loss: 2.4625840187072754
Iteration 395, Loss: 2.4166150093078613
Iteration 396, Loss: 2.438380002975464
Iteration 397, Loss: 2.451371192932129
Iteration 398, Loss: 2.403458833694458
Iteration 399, Loss: 2.455744743347168
step 400: train loss 2.4142, val loss 2.4025
Iteration 400, Loss: 2.4081459045410156
Iteration 401, Loss: 2.422194242477417
Iteration 402, Loss: 2.452374219894409
Iteration 403, Loss: 2.4085946083068848
Iteration 404, Loss: 2.413996934890747
Iteration 405, Loss: 2.5248279571533203
Iteration 406, Loss: 2.4231925010681152
Iteration 407, Loss: 2.432898998260498
Iteration 408, Loss: 2.3789172172546387
Iteration 409, Loss: 2.3807373046875
step 410: train loss 2.4083, val loss 2.3995
Iteration 410, Loss: 2.4178128242492676
Iteration 411, Loss: 2.460475444793701
Iteration 412, Loss: 2.4173877239227295
Iteration 413, Loss: 2.4173319339752197
Iteration 414, Loss: 2.4416024684906006
Iteration 415, Loss: 2.3893046379089355
Iteration 416, Loss: 2.416182279586792
Iteration 417, Loss: 2.400604248046875
Iteration 418, Loss: 2.423353910446167
Iteration 419, Loss: 2.4404377937316895
step 420: train loss 2.4078, val loss 2.3958
Iteration 420, Loss: 2.407102346420288
Iteration 421, Loss: 2.394869804382324
Iteration 422, Loss: 2.433631658554077
Iteration 423, Loss: 2.466714382171631
Iteration 424, Loss: 2.4173882007598877
Iteration 425, Loss: 2.4069643020629883
Iteration 426, Loss: 2.4207658767700195
Iteration 427, Loss: 2.43955135345459
Iteration 428, Loss: 2.4439282417297363
Iteration 429, Loss: 2.4545207023620605
step 430: train loss 2.4074, val loss 2.3959
Iteration 430, Loss: 2.4475672245025635
Iteration 431, Loss: 2.402973175048828
Iteration 432, Loss: 2.4549717903137207
Iteration 433, Loss: 2.426877021789551
Iteration 434, Loss: 2.381748676300049
Iteration 435, Loss: 2.425640344619751
Iteration 436, Loss: 2.4171621799468994
Iteration 437, Loss: 2.4064762592315674
Iteration 438, Loss: 2.4305901527404785
Iteration 439, Loss: 2.4352123737335205
step 440: train loss 2.4031, val loss 2.3980
Iteration 440, Loss: 2.4109995365142822
Iteration 441, Loss: 2.4000349044799805
Iteration 442, Loss: 2.4416608810424805
Iteration 443, Loss: 2.3890388011932373
Iteration 444, Loss: 2.4136574268341064
Iteration 445, Loss: 2.408325672149658
Iteration 446, Loss: 2.4448044300079346
Iteration 447, Loss: 2.431469678878784
Iteration 448, Loss: 2.408921241760254
Iteration 449, Loss: 2.430083751678467
step 450: train loss 2.3987, val loss 2.3898
Iteration 450, Loss: 2.4467594623565674
Iteration 451, Loss: 2.477827548980713
Iteration 452, Loss: 2.4262757301330566
Iteration 453, Loss: 2.4336297512054443
Iteration 454, Loss: 2.44313907623291
Iteration 455, Loss: 2.4085538387298584
Iteration 456, Loss: 2.3607749938964844
Iteration 457, Loss: 2.397934913635254
Iteration 458, Loss: 2.433074951171875
Iteration 459, Loss: 2.4170234203338623
step 460: train loss 2.3980, val loss 2.3929
Iteration 460, Loss: 2.4138126373291016
Iteration 461, Loss: 2.421093463897705
Iteration 462, Loss: 2.424114227294922
Iteration 463, Loss: 2.415081739425659
Iteration 464, Loss: 2.456057071685791
Iteration 465, Loss: 2.397444486618042
Iteration 466, Loss: 2.4187395572662354
Iteration 467, Loss: 2.4497947692871094
Iteration 468, Loss: 2.4039173126220703
Iteration 469, Loss: 2.352200984954834
step 470: train loss 2.3976, val loss 2.3901
Iteration 470, Loss: 2.4334354400634766
Iteration 471, Loss: 2.433932304382324
Iteration 472, Loss: 2.4466304779052734
Iteration 473, Loss: 2.4092493057250977
Iteration 474, Loss: 2.42208194732666
Iteration 475, Loss: 2.386730909347534
Iteration 476, Loss: 2.428361177444458
Iteration 477, Loss: 2.417847156524658
Iteration 478, Loss: 2.3895604610443115
Iteration 479, Loss: 2.459713935852051
step 480: train loss 2.3904, val loss 2.3821
Iteration 480, Loss: 2.471184015274048
Iteration 481, Loss: 2.4029524326324463
Iteration 482, Loss: 2.4441022872924805
Iteration 483, Loss: 2.456976890563965
Iteration 484, Loss: 2.4016988277435303
Iteration 485, Loss: 2.376703977584839
Iteration 486, Loss: 2.423950433731079
Iteration 487, Loss: 2.4212591648101807
Iteration 488, Loss: 2.4564998149871826
Iteration 489, Loss: 2.4090752601623535
step 490: train loss 2.3901, val loss 2.3829
Iteration 490, Loss: 2.3929240703582764
Iteration 491, Loss: 2.4210636615753174
Iteration 492, Loss: 2.4256949424743652
Iteration 493, Loss: 2.4447617530822754
Iteration 494, Loss: 2.3977534770965576
Iteration 495, Loss: 2.408919095993042
Iteration 496, Loss: 2.3936734199523926
Iteration 497, Loss: 2.3794796466827393
Iteration 498, Loss: 2.4375851154327393
Iteration 499, Loss: 2.4211158752441406
step 500: train loss 2.3951, val loss 2.3903
Iteration 500, Loss: 2.3527166843414307
Iteration 501, Loss: 2.3907926082611084
Iteration 502, Loss: 2.366539239883423
Iteration 503, Loss: 2.421035051345825
Iteration 504, Loss: 2.401005983352661
Iteration 505, Loss: 2.40517520904541
Iteration 506, Loss: 2.4413881301879883
Iteration 507, Loss: 2.391275644302368
Iteration 508, Loss: 2.4037044048309326
Iteration 509, Loss: 2.4363949298858643
step 510: train loss 2.3874, val loss 2.3844
Iteration 510, Loss: 2.4091343879699707
Iteration 511, Loss: 2.3614354133605957
Iteration 512, Loss: 2.402238607406616
Iteration 513, Loss: 2.387356758117676
Iteration 514, Loss: 2.4317822456359863
Iteration 515, Loss: 2.425373077392578
Iteration 516, Loss: 2.460606098175049
Iteration 517, Loss: 2.4444422721862793
Iteration 518, Loss: 2.4030067920684814
Iteration 519, Loss: 2.38181734085083
step 520: train loss 2.3874, val loss 2.3790
Iteration 520, Loss: 2.377082109451294
Iteration 521, Loss: 2.3536574840545654
Iteration 522, Loss: 2.3872952461242676
Iteration 523, Loss: 2.405203342437744
Iteration 524, Loss: 2.360480546951294
Iteration 525, Loss: 2.4180264472961426
Iteration 526, Loss: 2.403588056564331
Iteration 527, Loss: 2.376404047012329
Iteration 528, Loss: 2.459810256958008
Iteration 529, Loss: 2.3823957443237305
step 530: train loss 2.3818, val loss 2.3739
Iteration 530, Loss: 2.4509103298187256
Iteration 531, Loss: 2.39682674407959
Iteration 532, Loss: 2.42480206489563
Iteration 533, Loss: 2.452368974685669
Iteration 534, Loss: 2.392608404159546
Iteration 535, Loss: 2.3476219177246094
Iteration 536, Loss: 2.4050045013427734
Iteration 537, Loss: 2.396301507949829
Iteration 538, Loss: 2.400533437728882
Iteration 539, Loss: 2.422762632369995
step 540: train loss 2.3806, val loss 2.3705
Iteration 540, Loss: 2.401874303817749
Iteration 541, Loss: 2.3670382499694824
Iteration 542, Loss: 2.4334356784820557
Iteration 543, Loss: 2.4259493350982666
Iteration 544, Loss: 2.384852647781372
Iteration 545, Loss: 2.3947505950927734
Iteration 546, Loss: 2.4116063117980957
Iteration 547, Loss: 2.3869099617004395
Iteration 548, Loss: 2.350698232650757
Iteration 549, Loss: 2.4048547744750977
step 550: train loss 2.3809, val loss 2.3735
Iteration 550, Loss: 2.427424192428589
Iteration 551, Loss: 2.3610100746154785
Iteration 552, Loss: 2.3827199935913086
Iteration 553, Loss: 2.404020309448242
Iteration 554, Loss: 2.4035234451293945
Iteration 555, Loss: 2.3918795585632324
Iteration 556, Loss: 2.426305055618286
Iteration 557, Loss: 2.386749267578125
Iteration 558, Loss: 2.457935094833374
Iteration 559, Loss: 2.3752903938293457
step 560: train loss 2.3729, val loss 2.3680
Iteration 560, Loss: 2.4168505668640137
Iteration 561, Loss: 2.4349043369293213
Iteration 562, Loss: 2.377797842025757
Iteration 563, Loss: 2.3611276149749756
Iteration 564, Loss: 2.3931658267974854
Iteration 565, Loss: 2.3874874114990234
Iteration 566, Loss: 2.417381763458252
Iteration 567, Loss: 2.4317684173583984
Iteration 568, Loss: 2.4031271934509277
Iteration 569, Loss: 2.4395391941070557
step 570: train loss 2.3710, val loss 2.3682
Iteration 570, Loss: 2.404303789138794
Iteration 571, Loss: 2.3705251216888428
Iteration 572, Loss: 2.401217222213745
Iteration 573, Loss: 2.441157817840576
Iteration 574, Loss: 2.3738930225372314
Iteration 575, Loss: 2.3819377422332764
Iteration 576, Loss: 2.428018569946289
Iteration 577, Loss: 2.3599700927734375
Iteration 578, Loss: 2.414386510848999
Iteration 579, Loss: 2.435762882232666
step 580: train loss 2.3693, val loss 2.3610
Iteration 580, Loss: 2.407611846923828
Iteration 581, Loss: 2.3891823291778564
Iteration 582, Loss: 2.4009242057800293
Iteration 583, Loss: 2.396388530731201
Iteration 584, Loss: 2.3900582790374756
Iteration 585, Loss: 2.3806028366088867
Iteration 586, Loss: 2.3987069129943848
Iteration 587, Loss: 2.3746337890625
Iteration 588, Loss: 2.40727162361145
Iteration 589, Loss: 2.4055590629577637
step 590: train loss 2.3717, val loss 2.3669
Iteration 590, Loss: 2.3824167251586914
Iteration 591, Loss: 2.4221465587615967
Iteration 592, Loss: 2.4147448539733887
Iteration 593, Loss: 2.364041566848755
Iteration 594, Loss: 2.4270431995391846
Iteration 595, Loss: 2.4509105682373047
Iteration 596, Loss: 2.382460355758667
Iteration 597, Loss: 2.3902060985565186
Iteration 598, Loss: 2.394052028656006
Iteration 599, Loss: 2.4120452404022217
step 600: train loss 2.3619, val loss 2.3596
Iteration 600, Loss: 2.444368839263916
Iteration 601, Loss: 2.3848319053649902
Iteration 602, Loss: 2.3933801651000977
Iteration 603, Loss: 2.3707008361816406
Iteration 604, Loss: 2.340641975402832
Iteration 605, Loss: 2.4040353298187256
Iteration 606, Loss: 2.4044384956359863
Iteration 607, Loss: 2.3710391521453857
Iteration 608, Loss: 2.4017744064331055
Iteration 609, Loss: 2.3522627353668213
step 610: train loss 2.3635, val loss 2.3570
Iteration 610, Loss: 2.440446615219116
Iteration 611, Loss: 2.379774808883667
Iteration 612, Loss: 2.4231252670288086
Iteration 613, Loss: 2.3793957233428955
Iteration 614, Loss: 2.384363889694214
Iteration 615, Loss: 2.360260486602783
Iteration 616, Loss: 2.3788137435913086
Iteration 617, Loss: 2.3562111854553223
Iteration 618, Loss: 2.3648505210876465
Iteration 619, Loss: 2.410623550415039
step 620: train loss 2.3645, val loss 2.3540
Iteration 620, Loss: 2.3562815189361572
Iteration 621, Loss: 2.372429609298706
Iteration 622, Loss: 2.366161584854126
Iteration 623, Loss: 2.4145758152008057
Iteration 624, Loss: 2.366560220718384
Iteration 625, Loss: 2.349665880203247
Iteration 626, Loss: 2.344082832336426
Iteration 627, Loss: 2.3303370475769043
Iteration 628, Loss: 2.362528085708618
Iteration 629, Loss: 2.4053966999053955
step 630: train loss 2.3560, val loss 2.3539
Iteration 630, Loss: 2.400555372238159
Iteration 631, Loss: 2.3941409587860107
Iteration 632, Loss: 2.356076717376709
Iteration 633, Loss: 2.4421849250793457
Iteration 634, Loss: 2.3763554096221924
Iteration 635, Loss: 2.3589019775390625
Iteration 636, Loss: 2.371131181716919
Iteration 637, Loss: 2.4203004837036133
Iteration 638, Loss: 2.4134304523468018
Iteration 639, Loss: 2.382431983947754
step 640: train loss 2.3578, val loss 2.3516
Iteration 640, Loss: 2.389803171157837
Iteration 641, Loss: 2.374863386154175
Iteration 642, Loss: 2.412464141845703
Iteration 643, Loss: 2.3841638565063477
Iteration 644, Loss: 2.390028953552246
Iteration 645, Loss: 2.404881477355957
Iteration 646, Loss: 2.41548752784729
Iteration 647, Loss: 2.4048335552215576
Iteration 648, Loss: 2.4521448612213135
Iteration 649, Loss: 2.3510615825653076
step 650: train loss 2.3514, val loss 2.3484
Iteration 650, Loss: 2.393186330795288
Iteration 651, Loss: 2.381988286972046
Iteration 652, Loss: 2.3813607692718506
Iteration 653, Loss: 2.3949384689331055
Iteration 654, Loss: 2.383901357650757
Iteration 655, Loss: 2.405318021774292
Iteration 656, Loss: 2.409961462020874
Iteration 657, Loss: 2.407578945159912
Iteration 658, Loss: 2.368192434310913
Iteration 659, Loss: 2.3741259574890137
step 660: train loss 2.3498, val loss 2.3484
Iteration 660, Loss: 2.4166364669799805
Iteration 661, Loss: 2.3330297470092773
Iteration 662, Loss: 2.3433594703674316
Iteration 663, Loss: 2.398817300796509
Iteration 664, Loss: 2.386538505554199
Iteration 665, Loss: 2.3544483184814453
Iteration 666, Loss: 2.429067373275757
Iteration 667, Loss: 2.35599422454834
Iteration 668, Loss: 2.363316297531128
Iteration 669, Loss: 2.3569202423095703
step 670: train loss 2.3455, val loss 2.3404
Iteration 670, Loss: 2.3287320137023926
Iteration 671, Loss: 2.356210947036743
Iteration 672, Loss: 2.384229898452759
Iteration 673, Loss: 2.3524179458618164
Iteration 674, Loss: 2.4021918773651123
Iteration 675, Loss: 2.3797922134399414
Iteration 676, Loss: 2.4210093021392822
Iteration 677, Loss: 2.366215229034424
Iteration 678, Loss: 2.362725257873535
Iteration 679, Loss: 2.378533124923706
step 680: train loss 2.3411, val loss 2.3342
Iteration 680, Loss: 2.302110195159912
Iteration 681, Loss: 2.361602783203125
Iteration 682, Loss: 2.413569211959839
Iteration 683, Loss: 2.337203025817871
Iteration 684, Loss: 2.3748645782470703
Iteration 685, Loss: 2.3412210941314697
Iteration 686, Loss: 2.415452241897583
Iteration 687, Loss: 2.4070489406585693
Iteration 688, Loss: 2.4159324169158936
Iteration 689, Loss: 2.3452537059783936
step 690: train loss 2.3361, val loss 2.3310
Iteration 690, Loss: 2.369441509246826
Iteration 691, Loss: 2.3388168811798096
Iteration 692, Loss: 2.416677236557007
Iteration 693, Loss: 2.375359535217285
Iteration 694, Loss: 2.3730082511901855
Iteration 695, Loss: 2.402155876159668
Iteration 696, Loss: 2.4054625034332275
Iteration 697, Loss: 2.4491190910339355
Iteration 698, Loss: 2.3758585453033447
Iteration 699, Loss: 2.3554348945617676
step 700: train loss 2.3239, val loss 2.3224
Iteration 700, Loss: 2.351686716079712
Iteration 701, Loss: 2.351121187210083
Iteration 702, Loss: 2.379124164581299
